Date,VIX,NIFTY_return_%,USDINR_return_%,FII_net_cr,DII_net_cr
2024-03-01,10.96,0.09,-0.1661,592.38,218.5
2024-03-04,15.68,-0.44,1.2408,370.94,414.19
2024-03-05,21.55,0.02,0.2024,497.93,23.05
2024-03-06,17.58,-2.58,-0.1636,300.18,676.13
2024-03-07,17.21,1.19,0.109,748.81,206.42
2024-03-08,17.89,-2.03,-0.5898,435.14,100.43
2024-03-11,24.63,0.23,-0.0844,1163.29,433.6
2024-03-12,10.78,0.14,-0.3379,339.37,827.95
2024-03-13,18.73,-0.13,-0.1495,550.46,511.71
2024-03-14,16.27,-0.73,0.2929,1028.2,690.87
2024-03-15,20.06,1.02,0.5246,240.96,437.5
2024-03-18,19.37,0.66,-0.4705,853.13,299.02
2024-03-19,20.48,0.93,-0.6797,203.52,371.53
2024-03-20,16.6,-0.78,0.2154,527.19,477.61
2024-03-21,15.94,1.27,0.1629,476.17,565.15
2024-03-22,15.93,-1.24,0.2915,448.8,162.22
2024-03-25,19.54,0.32,-0.5298,950.67,250.98
2024-03-26,13.14,-1.35,0.3857,901.28,659.21
2024-03-27,16.99,0.87,-0.2808,715.62,823.02
2024-03-28,14.58,-1.12,0.4524,475.4,837.81
2024-03-29,16.06,1.26,0.2667,-0.41,1028.89
2024-04-01,15.76,-2.07,0.0549,709.2,742.36
2024-04-02,18.61,-1.55,-0.4056,491.83,-124.0
2024-04-03,14.69,-0.29,-0.5402,273.08,695.28
2024-04-04,14.72,0.12,-0.3291,571.35,170.45
2024-04-05,18.69,1.6,-0.478,566.53,549.31
2024-04-08,10.26,0.16,0.1328,450.79,143.2
2024-04-09,17.88,0.73,-0.1057,631.35,479.27
2024-04-10,17.63,-1.24,0.1013,1203.8,535.59
2024-04-11,20.79,-0.43,-0.0626,400.84,573.99
2024-04-12,16.42,-1.07,0.0555,834.72,61.32
2024-04-15,12.92,-0.27,0.021,1194.42,562.52
2024-04-16,23.63,0.07,-0.0186,641.75,513.5
2024-04-17,20.31,-0.86,0.1419,580.98,188.65
2024-04-18,18.51,0.52,-0.613,825.78,888.16
2024-04-19,15.88,0.76,-0.4265,530.37,494.36
2024-04-22,20.09,-2.34,-0.3151,625.22,253.8
2024-04-23,12.19,-1.56,-1.2408,102.23,324.57
2024-04-24,14.79,-1.01,0.7903,479.23,586.24
2024-04-25,15.14,-0.74,-0.3479,931.16,104.2
2024-04-26,14.05,-0.07,0.0554,527.09,53.4
2024-04-29,22.69,0.09,-0.2117,1097.27,502.5
2024-04-30,14.64,-1.37,-0.3662,528.7,132.04
2024-05-01,12.76,-0.44,-0.5055,749.91,1076.08
2024-05-02,21.46,-0.89,0.249,268.62,620.41
2024-05-03,17.59,1.24,0.2212,448.55,638.08
2024-05-06,12.77,-0.34,0.0629,394.12,673.16
2024-05-07,14.61,-0.89,0.554,531.09,433.67
2024-05-08,19.84,0.74,0.3062,710.59,173.9
2024-05-09,15.82,-0.78,-0.2088,340.93,232.38
2024-05-10,14.92,-2.11,0.0455,154.07,613.58
2024-05-13,15.42,-0.52,-0.1435,518.19,250.2
2024-05-14,24.88,-0.9,0.9358,712.93,95.71
2024-05-15,23.45,-1.51,0.0961,964.5,612.74
2024-05-16,16.06,0.24,-1.019,143.93,798.19
2024-05-17,15.19,0.14,1.0438,-53.0,101.55
2024-05-20,14.24,0.16,-0.6673,346.58,556.48
2024-05-21,9.26,2.64,0.9954,902.86,448.78
2024-05-22,11.67,-0.62,0.0384,151.95,590.38
2024-05-23,13.85,-2.88,0.0607,338.35,451.76
2024-05-24,14.5,-0.75,0.1968,980.2,534.22
2024-05-27,13.6,-0.67,-0.0561,415.12,476.93
2024-05-28,10.2,0.42,0.3228,491.39,697.41
2024-05-29,24.27,1.04,-0.1375,561.56,518.83
2024-05-30,22.63,0.18,-0.661,734.24,308.77
2024-05-31,8.4,-2.46,0.2125,455.82,-108.65
2024-06-03,23.59,-0.54,0.1566,-50.65,494.6
2024-06-04,13.5,-0.37,0.043,465.36,264.9
2024-06-05,20.39,-1.67,0.5988,607.97,168.41
2024-06-06,22.79,0.84,0.2489,-351.77,235.02
2024-06-07,14.48,-0.56,0.2826,878.99,530.11
2024-06-10,19.12,-1.15,0.1108,437.61,820.24
2024-06-11,24.07,-0.2,-0.4155,2.47,786.61
2024-06-12,15.57,-1.22,-0.2669,361.35,832.69
2024-06-13,17.01,0.01,0.0866,1022.97,505.68
2024-06-14,6.0,0.84,-0.3082,737.05,278.01
2024-06-17,15.3,-0.32,0.273,548.15,319.94
2024-06-18,15.82,-1.33,0.3319,468.2,340.13
2024-06-19,16.8,-1.64,0.3415,-158.75,550.39
2024-06-20,13.05,0.2,0.7011,485.87,359.72
2024-06-21,15.18,-1.02,-0.3873,799.43,411.66
2024-06-24,17.51,-0.41,-0.9615,242.64,457.81
2024-06-25,16.92,-0.96,0.0519,671.49,402.19
2024-06-26,22.46,-0.57,0.5221,266.8,-51.41
2024-06-27,7.1,1.21,-0.3076,680.71,534.09
2024-06-28,11.09,-0.9,-0.0798,101.88,603.86
2024-07-01,14.75,-0.08,0.0549,611.66,518.59
2024-07-02,23.81,-1.28,-0.0754,92.72,415.7
2024-07-03,18.49,-0.63,0.2729,30.12,-50.09
2024-07-04,18.2,-0.49,0.0709,357.46,1005.01
2024-07-05,11.22,-0.51,-0.6576,408.29,132.53
2024-07-08,17.87,-0.23,0.9084,533.29,286.04
2024-07-09,20.05,-1.31,0.367,209.44,307.49
2024-07-10,17.05,-0.39,0.0585,357.02,708.64
2024-07-11,15.64,1.67,0.0924,480.72,398.65
2024-07-12,9.37,-1.06,-0.467,841.4,374.09
2024-07-15,12.31,0.9,-0.5519,834.12,329.4
2024-07-16,25.0,2.49,-0.4072,532.64,332.1
2024-07-17,22.12,-0.28,0.3932,942.57,508.06
2024-07-18,9.49,1.6,0.8937,477.05,441.28
2024-07-19,15.63,-1.53,0.4887,1163.58,407.92
2024-07-22,12.37,1.46,-0.0985,922.42,772.4
2024-07-23,14.34,0.24,0.3479,368.58,367.15
2024-07-24,12.21,1.44,0.7323,311.73,872.16
2024-07-25,20.82,-1.06,-0.3172,426.38,180.96
2024-07-26,16.86,0.19,0.5991,826.87,185.61
2024-07-29,19.96,-1.35,0.4085,261.17,1019.62
2024-07-30,17.65,-0.39,-0.3786,677.89,402.42
2024-07-31,14.01,-2.04,0.3247,590.53,650.36
2024-08-01,14.35,-0.1,1.1187,898.19,107.26
2024-08-02,13.69,-1.01,-0.092,212.16,417.67
2024-08-05,13.67,-0.83,0.5376,397.02,339.54
2024-08-06,13.71,0.98,-0.1021,259.38,380.31
2024-08-07,19.96,-2.8,0.492,841.06,652.11
2024-08-08,13.22,-1.12,-0.3272,1127.12,396.77
2024-08-09,15.35,-1.11,-0.1622,703.58,435.1
2024-08-12,20.0,0.44,0.2016,767.49,605.82
2024-08-13,16.72,1.34,0.6654,298.94,441.84
2024-08-14,7.77,-0.3,0.7089,880.97,999.85
2024-08-15,11.65,-0.59,-0.1514,238.46,613.65
2024-08-16,17.51,1.33,0.5189,506.28,376.33
2024-08-19,15.97,0.5,0.4366,301.75,663.48
2024-08-20,14.64,-0.02,0.8553,408.86,663.71
2024-08-21,16.76,1.33,-0.1554,667.05,364.81
2024-08-22,18.26,0.11,-0.2687,914.57,407.64
2024-08-23,18.19,-0.72,0.6947,162.37,689.88
2024-08-26,10.85,1.48,-0.5178,266.62,382.97
2024-08-27,11.5,0.4,-0.2305,569.73,134.1
2024-08-28,20.33,-0.79,-0.343,481.04,393.35
2024-08-29,17.63,-1.25,0.2202,595.05,265.65
2024-08-30,17.89,-0.14,-0.3355,287.11,709.47
2024-09-02,13.74,0.31,-0.3583,332.32,634.29
2024-09-03,16.33,-0.35,0.2936,194.05,498.34
2024-09-04,19.24,-0.66,0.85,635.19,28.76
2024-09-05,13.71,0.06,0.3609,333.6,300.99
2024-09-06,9.21,2.03,0.3499,696.61,438.61
2024-09-09,19.22,0.42,-0.0086,711.59,333.31
2024-09-10,13.98,0.64,0.2024,567.12,430.51
2024-09-11,13.28,-0.11,-0.1145,867.03,13.27
2024-09-12,20.67,0.5,-0.1907,723.88,1025.64
2024-09-13,13.78,0.03,-0.591,902.56,710.14
2024-09-16,16.08,0.85,-0.1124,270.13,353.55
2024-09-17,23.43,-0.2,-0.0099,797.49,878.13
2024-09-18,11.61,0.7,0.4952,598.26,192.13
2024-09-19,19.62,0.12,0.1095,467.82,544.46
2024-09-20,16.12,0.89,-0.0643,1035.96,326.69
2024-09-23,14.7,-1.51,-0.7016,281.6,779.65
2024-09-24,14.79,-0.42,-0.8523,507.8,587.83
2024-09-25,8.6,2.26,0.0162,557.67,773.91
2024-09-26,15.09,2.06,-0.1648,433.53,467.18
2024-09-27,6.07,3.07,0.0703,744.15,-119.96
2024-09-30,16.49,0.58,-0.3043,982.59,392.2
2024-10-01,15.77,-0.32,0.1884,827.21,457.07
2024-10-02,18.09,1.03,-0.4832,159.39,279.42
2024-10-03,15.34,-0.6,0.5455,262.16,176.88
2024-10-04,16.54,1.24,0.5799,787.62,727.78
2024-10-07,20.04,-1.18,-1.5719,222.24,671.69
2024-10-08,14.53,0.91,-0.0787,471.97,156.96
2024-10-09,11.62,-1.96,-0.6974,182.88,35.95
2024-10-10,13.0,0.04,-0.0281,-109.72,581.24
2024-10-11,17.48,2.11,-0.7553,-40.01,290.88
2024-10-14,12.69,-2.14,-1.1809,292.55,-69.61
2024-10-15,13.05,0.46,0.0152,696.32,23.03
2024-10-16,22.02,-0.58,0.1812,544.83,406.89
2024-10-17,11.99,1.9,0.0579,583.92,636.87
2024-10-18,18.56,-2.18,0.9507,626.17,16.33
2024-10-21,16.43,-1.62,0.3742,477.78,439.84
2024-10-22,14.26,2.79,-0.1896,839.65,1016.07
2024-10-23,25.0,-0.53,-0.4847,542.49,-91.38
2024-10-24,18.93,-0.16,-0.2589,547.7,81.22
2024-10-25,16.42,-0.48,-0.2344,992.39,193.08
2024-10-28,16.18,0.71,0.2391,405.04,98.06
2024-10-29,22.09,-0.47,-0.1926,576.56,888.17
2024-10-30,19.2,-0.28,0.1402,576.46,335.36
2024-10-31,15.89,-1.13,0.2207,906.45,358.37
2024-11-01,10.66,0.23,0.0839,847.27,443.25
2024-11-04,13.25,0.55,-0.2034,170.18,-381.43
2024-11-05,17.0,1.34,0.2213,240.15,144.94
2024-11-06,18.8,0.68,0.5566,526.68,790.3
2024-11-07,19.62,0.42,-1.0272,536.62,686.42
2024-11-08,12.23,-0.08,0.9184,1071.46,320.14
2024-11-11,18.08,1.62,-0.42,697.66,145.31
2024-11-12,10.79,-1.54,-0.7034,498.02,275.23
2024-11-13,13.18,-0.65,0.4047,696.84,637.62
2024-11-14,19.09,-0.57,0.1408,83.85,450.35
2024-11-15,13.1,-0.96,0.0846,614.41,650.59
2024-11-18,21.23,0.27,0.3053,684.43,157.78
2024-11-19,16.31,-0.31,0.3302,-123.97,383.6
2024-11-20,11.33,0.73,0.2702,226.03,770.52
2024-11-21,12.86,-1.3,0.0456,454.65,177.6
2024-11-22,15.49,0.12,-1.5295,212.12,5.89
2024-11-25,12.17,1.66,0.3449,475.27,700.16
2024-11-26,19.48,-1.08,0.2861,490.55,442.96
2024-11-27,17.53,-0.64,-0.3098,75.13,477.16
2024-11-28,17.48,0.31,-0.2847,499.69,100.74
2024-11-29,22.53,-0.83,0.2528,650.18,179.09
2024-12-02,18.24,-0.8,-0.2525,947.77,350.4
2024-12-03,17.45,-0.67,-0.6781,56.25,131.15
2024-12-04,13.73,-0.34,-0.6828,195.88,698.9
2024-12-05,17.78,-0.99,0.1593,657.65,824.08
2024-12-06,15.06,3.43,0.1258,1087.42,588.08
2024-12-09,17.72,-1.17,0.664,345.94,214.56
2024-12-10,16.35,-0.31,-0.4638,543.15,508.81
2024-12-11,16.29,2.1,0.4721,350.86,40.16
2024-12-12,16.53,0.04,-0.0146,-141.68,572.74
2024-12-13,14.3,0.09,-0.5281,202.94,488.74
2024-12-16,12.19,-2.32,0.1473,738.81,317.93
2024-12-17,18.58,0.9,0.2775,440.67,546.9
2024-12-18,14.2,0.56,0.8209,373.24,260.13
2024-12-19,19.14,-0.03,-0.5349,452.39,460.46
2024-12-20,14.57,-1.18,-0.8098,355.17,1008.92
2024-12-23,14.05,-0.63,0.4642,17.38,849.28
2024-12-24,18.23,-0.11,-0.2618,117.6,403.26
2024-12-25,13.7,1.16,0.0831,407.98,259.95
2024-12-26,13.83,0.32,-0.1543,381.53,380.63
2024-12-27,18.46,-2.57,0.0697,15.18,231.98
2024-12-30,10.74,-1.9,-0.6294,689.2,334.98
2024-12-31,15.1,-0.7,1.4776,750.1,113.99
2025-01-01,14.71,1.22,-0.1613,774.12,457.61
2025-01-02,10.59,-2.03,-0.1272,532.94,506.7
2025-01-03,18.09,-0.12,-0.5005,822.83,74.0
2025-01-06,19.46,-0.48,0.045,381.71,447.22
2025-01-07,13.55,-0.34,0.2302,115.88,409.03
2025-01-08,17.03,1.1,0.158,216.7,445.87
2025-01-09,15.99,1.29,-0.1025,1173.18,500.14
2025-01-10,16.09,0.13,-0.4288,356.23,512.85
2025-01-13,18.75,-2.13,0.2177,166.52,688.44
2025-01-14,18.67,1.09,-0.1369,494.1,762.63
2025-01-15,11.42,1.35,-0.6654,820.23,651.11
2025-01-16,16.63,-1.03,-0.4455,643.32,378.54
2025-01-17,15.47,-1.06,-0.2323,511.03,283.42
2025-01-20,20.71,1.67,-0.2567,758.76,484.23
2025-01-21,15.44,-1.06,-1.3862,518.43,525.8
2025-01-22,15.84,1.2,0.2379,154.9,363.96
2025-01-23,14.43,0.43,0.0713,252.54,828.72
2025-01-24,14.66,0.92,-0.2652,717.51,382.35
2025-01-27,6.0,0.05,0.1303,93.62,587.3
2025-01-28,16.16,0.86,0.0375,356.68,476.3
2025-01-29,12.36,-2.08,-0.1566,703.11,357.46
2025-01-30,14.09,-1.13,-0.1399,322.13,188.86
2025-01-31,25.0,-1.08,-0.2222,848.74,273.22
